name,age,street,city,state,zip,lng,lat
Thomas King,70,0730 Arroyo Walk,Kennethhaven,Hawaii,97518,-173.699978,-49.0620875
Marcus Alexander,64,5742 Hannah Fall Suite 052,South Shellychester,Texas,76249,145.016139,-46.6842755
Barbara Williams,25,6860 Wallace Terrace,Tuckerport,Texas,37247,-31.953212,-81.5266625
Elizabeth Ramos,49,3553 Ronald Ridge Suite 541,Kennethview,Utah,78751,132.764898,-32.1351935
Brenda Williams,31,39998 Waller Village Suite 755,East William,Maryland,49969,-150.592338,-45.354532
Melissa Elliott,58,95501 Walker Spur,Barrettbury,Wyoming,27468,171.389181,-70.3875405
Judy Miller,24,7150 Hall Roads Suite 938,North Jesse,Tennessee,40454,2.416076,-14.773624
Ethan Lewis,35,2743 Fleming Plains Apt. 651,Sarahside,New Jersey,56790,139.948321,61.0930525
Nancy Noble,56,097 Jennifer Glens Apt. 257,Michealborough,Hawaii,79275,147.693803,-20.8992075
Rachel Thornton,43,753 Salazar Canyon,East Anthony,Louisiana,99281,-113.327336,-76.0888045
Jason White,51,1941 Woods Mountain Apt. 242,South Robinborough,Tennessee,38567,107.573686,-2.901264
Cody Tran,57,929 Tanya Forges Suite 904,Michaelside,Arkansas,07926,-169.852166,75.0908065
Mark Webb,39,97787 Anderson Squares,New Morgan,New Hampshire,29877,163.763161,-24.531026
Lisa Villanueva,22,961 Lauren Burg Apt. 255,North Melissa,Nevada,98593,-111.024512,-36.0039125
Anthony Lee MD,51,155 Anderson Valley Suite 275,Jacobview,Pennsylvania,96958,140.666158,81.593032
Stephanie Castillo,80,9074 Anthony Shoal Suite 040,Danielbury,Alaska,13078,162.865859,-40.0356915
Chad Ray,59,28504 Walton Lights,New William,Michigan,69655,150.317166,-83.355280
Thomas Miller,67,645 Barbara Field,Michaelport,Michigan,73195,138.058212,-3.820975
Walter Cohen,77,2337 Young Forks Suite 228,Cherylchester,Illinois,43012,-112.419914,38.8804245
Scott Jensen,61,584 Gerald Port,Dayberg,Vermont,86407,-61.435591,-23.989174
William Moore,65,15729 Little Bypass,Washingtonport,New Hampshire,41481,37.334956,-31.144399
Justin Garza,37,5335 Delgado Wells,South Stacey,New Hampshire,59378,-30.803936,-10.589802
Michael Williams,38,9021 Diaz Forks,Lake Bradley,Illinois,26355,163.688778,-48.869507
Frank Macdonald,32,0324 Miller Bridge,Lake Marie,Nevada,79967,-118.776824,-85.656392
Cameron Savage,25,16267 Tina Plains,New David,Idaho,44251,-14.475894,48.4535435
Christopher Smith,54,409 Robert Stream,Kristinaberg,Virginia,78354,-170.122630,-66.127413
Luke Byrd,58,324 Jason Terrace,Christophermouth,Alabama,43469,93.190245,-63.178811
Jennifer Allison,18,794 Carter Stravenue Suite 576,North Patriciafort,Georgia,32608,40.190605,-43.494025
Alexandra Mckinney,23,59514 Jones Brook Apt. 580,Washingtonbury,California,22895,73.710925,-41.310070
Sarah Green,39,4234 Williams Cape,Lake Regina,Utah,76734,23.275954,54.0470955
Bethany Nelson,67,92245 Keith Garden,South Kimberly,New Hampshire,47685,152.199448,81.773948
David Ryan,71,09782 Tammy Crescent,West Davidmouth,Nebraska,47192,-12.348208,-32.4994135
Joseph Atkinson,65,3760 Carney Spur,West Markburgh,New Jersey,30965,116.833947,15.760555
Gina Johnson,63,095 Becker Mountain,Youngchester,Missouri,27168,-84.681144,-44.7568405
Kristina David,32,93205 Bryan Garden Suite 673,East Melissaport,Louisiana,72598,175.946397,2.160631
Mandy Walsh,24,09206 Mccarthy Freeway Suite 949,Schultzfort,Delaware,05445,178.968836,-32.6175145
Samantha Ewing,73,857 Hansen Mills,Robertstown,Massachusetts,06299,-126.983361,-58.153533
Michele Young,36,2080 Ashley Row Apt. 536,New Kathleen,Arizona,46602,-13.498735,-4.279321
Terri Clark,67,94742 Shannon Inlet,Christinachester,Alaska,38868,56.056423,-46.217514
Erin Lara,18,6582 Miller Villages,Samanthaland,Mississippi,56160,-139.397188,43.9121595
Robert Christian,44,247 Michael Mews Suite 724,Riverahaven,North Carolina,05945,-122.533147,-15.671077
Michael Hall,32,7333 Ramirez Ford Apt. 716,Sandraberg,Maine,33211,-154.537869,-78.520936
Daniel Carroll,69,047 Mccoy Brook,New Michael,Arizona,58280,-109.268264,-9.6972905
Kevin Garrison,71,81931 Drake Crest,South Philip,Wisconsin,98620,-48.394727,-37.719196
Shannon Owens,61,247 Amy Port Suite 202,West Coreybury,Montana,11772,85.630160,3.004936
Laura Allen,75,27818 Murphy Ridges Apt. 926,East Devonborough,New York,26005,2.705626,-36.3342765
Sherry Trevino,35,34002 Daniel Route,Port Michael,Kentucky,55944,0.447868,-75.9119245
Bruce Waters,71,737 Fernandez Haven Suite 373,West Christian,New Mexico,61815,-61.800606,-55.081922
Paul Miller,21,75911 Mcpherson Courts Apt. 592,Dianeville,Kentucky,58320,61.272482,-18.8105685
Judith Esparza,28,896 Elizabeth Camp,Lake Jerryfurt,Kansas,03339,-80.669298,-74.6509515
Kimberly Porter,45,671 Vasquez Mountains Apt. 449,Williamsonland,Minnesota,62391,146.782843,87.0550975
Deanna Parker DDS,22,6542 Richards Mountain,North Glen,Texas,80427,130.292230,61.518553
Jenna Pruitt,59,82639 Harris Village Suite 897,West Jasonview,Hawaii,10401,105.097307,78.266923
Jonathan Flores,33,2069 Vaughn Vista,Rogerport,Louisiana,29544,133.787024,-3.0599425
Brenda Hess,27,3618 Lance Walk,North Pamela,Oklahoma,61988,-54.377761,19.669497
Samantha Gomez,57,226 Angela Fort Suite 659,North Maryfurt,Massachusetts,78641,-126.680689,-42.6560115
Clinton Thompson,34,7666 Marco Falls,New Carlside,Massachusetts,61884,173.420932,54.9569055
Samantha Guzman,78,5280 Brooke Wall Apt. 874,Villanuevabury,Washington,20442,-118.484979,-27.9245205
Julie Lozano,77,4554 Wagner Lodge Suite 785,North Scottbury,New Jersey,26022,142.817629,2.102090
Lauren Jenkins,74,09605 Courtney Ford,Port Dan,West Virginia,73318,137.254671,7.1751985
Lindsay Townsend,62,2904 Tony Center Apt. 782,Marissashire,Hawaii,30720,-90.079786,82.698950
Sarah Velasquez,48,09527 Theresa Club Suite 539,East Alyssachester,West Virginia,51055,-97.849248,-84.557534
Joshua Olsen,64,2325 Zachary Court Suite 186,Port Sheena,Pennsylvania,87563,58.066577,18.276726
Alexander Barnett,64,8408 Lopez Lodge,Larabury,Georgia,26602,-57.320970,56.0878025
Stephanie Fischer,65,76953 Lucas Streets,South Tara,Wisconsin,19843,74.278848,-41.3726855
Adam Donaldson,19,6835 Micheal Plains Apt. 826,New Brittany,Kansas,79247,74.084158,-53.410252
Amanda Travis,51,47941 Michael Prairie Suite 266,Youngtown,Hawaii,43841,-88.369106,41.5788545
Mrs. Danielle Matthews DDS,53,539 Martinez Neck Apt. 456,Howardtown,New Hampshire,31308,117.761225,53.363093
Andrew Johnson,21,31549 Linda Fields,Lake Donnaland,Wisconsin,46668,-34.244425,-67.7495225
Matthew Price,71,37930 Joseph Gardens,Chrisville,Hawaii,47093,147.258972,-18.5361095
Linda Davis,56,0083 April Ramp Apt. 451,Gonzalezland,Illinois,71217,48.454090,88.355533
Olivia Contreras,47,931 Jeremiah Trafficway Suite 683,Jenningstown,North Dakota,41390,-108.329421,54.2694225
Anna Myers,26,150 Michelle Ranch Apt. 261,West Adamfort,Texas,49561,145.723623,78.796562
George Payne,23,73981 Harris Drives Apt. 276,Burtonmouth,Pennsylvania,24642,-84.636393,78.1093305
Steven Riley,41,83681 Timothy Springs,Carlosside,Missouri,29102,150.422858,65.289311
Christopher Fields,78,12635 Fisher Ridge Apt. 417,West Jacqueline,New York,51832,-80.988921,-68.053030
Charles Perez,62,1347 Ivan Plaza Suite 697,Vargasborough,Pennsylvania,90931,172.046617,22.3213475
Jennifer Leonard,55,43130 Nicole Light,Nicolaston,Connecticut,01573,107.349467,49.1548715
Victor Gonzalez,21,26026 Kelly Lake,Lake Nathanland,Texas,87392,87.504314,-70.8275265
Cory Mullen,41,705 Bonilla Hills Suite 872,West Jacobhaven,New Hampshire,58341,1.259718,61.7788245
Christopher Cooper,21,72701 Edwards Extensions,Lindatown,Iowa,07716,-56.865866,-82.940874
Melissa Thornton,68,987 Wilson Path,North Kevin,Missouri,41595,-14.164464,-21.319014
Becky Higgins,51,659 Michael Brooks,Rossshire,New Mexico,02747,67.894790,-81.626122
Tammy Green,37,41829 Kaitlyn Spur Suite 630,Lake Ericaborough,Maryland,23342,-97.765833,-65.411079
Adam Knox,62,000 Dennis Dale,New Alexistown,Wyoming,69821,-8.937370,-19.532710
Laura Roberts,58,5128 Holt Courts,Lake Amy,New Mexico,57453,-163.153901,-73.4000175
Christine Henderson,44,935 Mercado Walks Suite 119,North Davidburgh,Louisiana,82843,-49.515545,8.1069275
Monica Norton,25,6902 Cole Ridge Apt. 640,Russellport,South Carolina,65330,53.930016,-60.100577
Mark Davis,50,5928 David Landing Suite 214,Martinhaven,South Carolina,93471,-65.463749,22.2289085
David Spencer,27,03257 Dana Bridge,West Jenniferfort,Arkansas,04964,-44.816032,49.774585
Natalie May,59,15298 Katherine Greens Suite 530,Ortegafurt,Tennessee,04294,156.328009,-16.165571
Brenda Rhodes,59,85054 Rodney Harbors,South Markport,California,56517,-18.861850,61.544415
Jennifer Brown,58,231 Burns Bridge Suite 063,East Steven,Pennsylvania,56949,16.063899,23.542190
Robert Wall,27,8008 Grimes Ranch Suite 151,Port Sandra,Tennessee,31738,145.828033,73.484793
Michelle Guzman,64,17371 Margaret Pass Apt. 428,South Amandahaven,Hawaii,01217,30.095056,-30.539373
Vincent Johnson,24,86278 Alexander Shoals Apt. 136,Coxstad,Hawaii,54369,-23.190578,5.1079265
Jared Miller,66,2959 Lisa Springs,Lake Donaldville,Alabama,68907,15.789007,60.0273795
Thomas Miller,61,537 Atkins Expressway Suite 591,Roblesborough,West Virginia,17018,-55.820113,-12.0508415
Cassandra Smith,22,2701 Linda Crossroad,Mitchellbury,Maine,52981,131.164414,-77.7589405
Joel Clark,42,947 Lynn Plain,Rojasburgh,Arkansas,51605,48.462600,-26.816444
Paul Jones,70,42609 John Rapids,Port Jasonmouth,South Carolina,43625,-163.567764,-16.770522
Alexander White,38,6453 Brown Green Suite 116,New Randy,Pennsylvania,75654,-49.709914,71.112883
Candice Adams,80,01533 Steven Ways Apt. 620,South Maxwellhaven,North Carolina,29195,-83.757985,58.117282
Benjamin Sanders,68,73832 Brown Ramp,Lake Sherry,Georgia,63530,161.399194,-22.070971
Haley Santos,40,4465 Rebecca Estates,New Lauraside,Oregon,82141,-141.929384,23.222580
Angel Mccoy,48,36946 Gibson Spring Suite 668,Moodyton,Minnesota,20925,88.774926,-85.944502
Tammy Smith,49,9359 Jessica Club,West Michaelborough,Kentucky,11426,-79.956749,43.025416
Henry Dudley,65,61268 Beard Cliff,South Robertmouth,Alaska,02231,64.345278,16.0690425
Steven Johnson,77,229 Cody Creek Apt. 123,Lake Shawn,Oklahoma,29440,-61.294545,77.3386685
Kimberly Dixon,30,329 Matthew Village,Elizabethhaven,Minnesota,31122,-9.084294,9.685814
Robert Harris,63,072 Patel Well,Andersonton,Delaware,08031,52.801037,64.006604
Becky Moore,49,294 Cruz Knolls Apt. 411,South Tonyaburgh,Missouri,56439,31.209860,-49.113895
Rhonda Herrera,57,27015 Reed Light Apt. 626,Gregfort,Nebraska,56684,-168.899584,-55.7169775
Sonia Hickman,29,4156 Hebert Throughway,South Tonyashire,Florida,21757,-41.703138,-51.0417445
Mary King,25,1918 Howard Brooks,Allenfort,New York,55070,71.101113,38.764846
Katherine Bowen,35,31588 Erica Club Suite 822,Saraland,Delaware,14641,121.660760,-74.7431485
Christopher Hale,22,551 Armstrong Summit,Rebeccaburgh,Maryland,15746,54.655132,6.0659615
Chad Collier,72,978 Simmons Cape Apt. 980,South Annborough,Missouri,83660,-172.002053,-45.489395
Tamara Bennett,74,757 Laura Route Suite 460,Morrisfurt,Delaware,02700,156.938145,-19.551957
Joel Alvarez,47,418 Harris Ford,Kristieborough,Idaho,99235,40.654113,-71.3573835
James Carroll,77,7962 Brown Branch Apt. 261,Leburgh,Indiana,80474,-24.826595,66.009366
Misty Howell,68,225 Walter Villages Suite 056,North Amber,West Virginia,11221,-163.146824,70.660131
Robert Snyder,80,37134 Jennifer Grove,Taylorbury,Utah,77414,-91.400162,-63.199089
Kyle Wilkinson,51,2033 Chang Passage,Castilloview,Rhode Island,27322,97.717722,72.7577885
Pamela Perez,27,6521 Jason Pike,Jenniferburgh,Illinois,47145,150.041499,82.058991
Amy Vang,43,707 Steven Islands Apt. 275,South Oliviamouth,New Mexico,97290,-110.707108,-85.222450
Tyler Greer,70,732 Anthony Bypass,Powellmouth,Minnesota,46001,61.907824,54.8854085
Benjamin Miller,80,68905 Jonathan Ways,East Scott,New Mexico,10375,-13.893528,-30.645580
Logan Waters,52,01816 Stone Locks Suite 174,Sonyamouth,North Carolina,62357,160.020799,35.944890
Doris Wilson,42,13729 Ricky Motorway,Taylorport,Vermont,50226,-89.880230,-28.2183835
Andrea Ramos,66,6168 Stephanie Dale,East Angela,Pennsylvania,51374,-42.978710,-17.8816425
Charlotte Newman,32,9098 Denise Fort,Port Chadview,Virginia,39044,-133.702545,-36.2829445
Rodney Young,22,10665 Isaac Terrace Suite 136,Allenside,New York,49161,-152.289865,67.163758
Gregory Kirk,55,1701 Manning Street Suite 464,Lake Frederickfort,Florida,76102,-135.841440,36.828321
Kelly Rose,66,285 Edward Crossroad,Port Angela,Idaho,22431,89.919773,-2.113550
Sean Sanchez,76,555 Jones Stravenue,Kendrafort,Mississippi,63940,-128.411814,-72.0235095
Alexander Torres,20,42397 Schaefer Tunnel Apt. 032,South Robert,Florida,68729,-112.323192,-1.866830
Dr. James Fowler,59,76287 Robertson Corner Apt. 196,West Jeanettemouth,Louisiana,46713,117.423326,-60.3124545
Bryan Davidson,42,817 Johnson Roads Suite 516,Karinaview,Pennsylvania,91235,157.555799,-38.5057395
Ryan Burns,57,459 Marcus Club Suite 209,New Jeremiahside,Washington,30138,81.056137,-60.1306855
Victoria Ferguson,23,33948 Davies Neck,Williammouth,Missouri,62671,31.014480,-32.430518
Jared Hendricks,57,9314 Harris Well,Micheletown,Texas,19653,152.904190,-53.955269
Luis Vaughn,31,43726 Shelley Extension,South Anthony,Alaska,79296,5.798666,-30.739387
Keith King,59,40120 Cantu Hill,Turnerfurt,Virginia,70569,-1.916608,-11.900108
Charles Harper,61,2885 Harrison Corners Suite 773,Port Edwardmouth,New Hampshire,91028,-152.033894,-71.9718325
Ryan Owen,29,00700 Cooper Keys Apt. 797,West Lisa,Idaho,88222,62.073523,58.685049
George Gonzalez,41,305 Nancy Mountains Suite 302,New Cheryl,Oklahoma,52040,-157.432443,-72.4470625
Eric Brown,71,944 Benjamin Ports,Smithtown,Colorado,29237,161.010642,-54.765222
Jessica Luna,45,579 Raymond Valley,Michaelborough,Oklahoma,06774,-75.198551,-53.1661045
Luis Dean,71,481 Jefferson Highway,Brownchester,Washington,32207,-155.511513,25.969117
Lori Nelson,47,364 Gardner Ridges Suite 771,Carlyfort,Rhode Island,39686,-103.295510,39.5029935
Bryan Gonzalez,19,782 Tanya Brook Apt. 317,North Joan,South Carolina,69725,-84.277923,-83.009770
Mr. Isaac Ayala,41,684 Steve Path Suite 274,Lake Michaelview,Oregon,91426,35.021919,-54.6754085
Thomas Lee,58,602 Cooper Inlet Apt. 209,Wiseburgh,Oklahoma,64838,-55.383629,-15.7015545
Rachel Walker,75,5819 Virginia Passage,South Caitlyn,Illinois,55555,-102.276834,18.2500615
Melinda Martinez,44,95221 Carter Fields,New William,Maryland,68388,60.073335,68.534328
Brittney Marshall,67,53655 Suarez Glens Apt. 582,Christopherview,Louisiana,29588,-45.599169,73.2226735
Mark Stevens,47,17436 Bruce Point,West Antonioburgh,Arkansas,95259,-1.829050,59.3286785
Barbara Snyder,49,69940 Smith Ramp,East Alexanderburgh,Alaska,58208,129.183020,53.915072
Kelly Forbes,38,710 Sandra Track Suite 162,Craigberg,Nebraska,53595,5.460389,62.6909545
Nicole Vazquez,67,903 Ross Tunnel Apt. 799,Vargasville,New Hampshire,64083,-134.549643,-15.9158565
Jonathan Barnes,57,6813 Jackson Valleys Suite 635,North Austin,Florida,49180,-107.799547,48.855686
George Gill,39,184 Louis Fall,North Michellemouth,West Virginia,15743,26.129597,-44.542682
Brianna Hurley,74,756 Patricia Turnpike,East Ronaldberg,Missouri,82776,-166.408928,36.1944015
Candice Hughes,63,4761 Lisa Canyon Apt. 758,Moralestown,Minnesota,75854,13.017325,-52.164189
Karen Stanley,28,6821 Mark Passage Suite 193,North Karla,Washington,81033,-137.867991,64.5671445
Lori Rodriguez,42,856 Lisa Pines,Lake Annhaven,California,64188,-87.761857,35.118317
Maria Lewis,66,177 Karen Manors,New Sean,Nebraska,30623,30.211023,-58.173378
Karen Guerra,77,71550 Alexander Center Apt. 047,North Gabriel,Louisiana,10365,-96.496165,26.366196
Dawn Taylor,62,402 Kirsten Plaza Apt. 228,Leonardchester,Washington,07035,118.355322,-76.313366
Daniel Bailey,19,206 Allison Course Suite 104,New Robertberg,Texas,81883,-28.147610,20.333428
Wendy Harper,37,387 Jared Grove,Michaelview,New Hampshire,82166,-107.550903,-20.4319215
Jennifer Pennington,27,2740 Alexander Bypass Apt. 882,Simpsonbury,Washington,27370,6.069893,-47.373226
Wendy Collins,66,46413 Brandon Prairie Suite 960,Collierville,Wyoming,05133,-166.473179,-83.424893
Courtney Graves,41,4091 Michael Courts,Contrerasborough,New York,97082,171.429065,79.6680655
Kathryn Velazquez,64,47267 Byrd Road Apt. 062,Wilsonbury,Kentucky,83547,-19.363723,-87.7868335
Teresa Washington,76,711 Hannah Lodge,Andrewborough,Wyoming,23390,139.327065,83.932816
Brandon Bailey,58,712 Nicholas Cliff,Hayleyshire,Massachusetts,61574,94.285303,40.6768635
Kimberly Mcdonald,46,12908 Brandon Spurs,East Martinport,Arkansas,57299,18.367073,-20.547412
Craig Ward,23,097 Carey Rapids,Matthewburgh,Arkansas,59049,121.283112,73.319054
Rodney Vargas,36,13202 Wade Mountains,Jonathanshire,Iowa,03135,48.699029,-72.093692
Kimberly Clark,42,03308 Heather Gateway,Kristenton,California,09143,8.261084,15.8404025
Ashley Hooper,19,53036 Melissa Cliff Apt. 078,West Harryshire,Michigan,24319,163.746463,44.0306655
Jason Acevedo,65,2741 Russell Passage,Robertberg,Kentucky,64582,-140.397543,83.461513
Kim Wheeler,29,95879 Laura Trace,Port Ericton,Connecticut,45578,-176.645926,-11.0079435
Matthew Moses,47,530 Billy Isle Suite 850,Port Elizabeth,Louisiana,37509,-16.916725,-54.871307
Justin Huffman,43,840 Lawson Trail,South Erikbury,Utah,61776,11.870190,-57.931302
Daniel Parrish,77,8696 Davis Shores Apt. 746,Carriemouth,Georgia,83439,65.486112,56.934709
Travis Edwards,62,9605 Schroeder Fort,Garzaton,Texas,28884,51.237905,-63.569243
Kristin Tucker,61,6216 Tina Vista Apt. 943,Lake Lisa,Georgia,51467,-21.337661,-70.7674605
Lucas Williams,53,86186 April Run Suite 722,Alishaton,Nebraska,79058,104.612065,46.3806885
Nancy Barnett,34,51844 Mary Curve,Careyhaven,Montana,60128,-113.629436,76.710952
Tracy Hawkins,36,64175 Lisa Walks Suite 692,Lake Jeffreyburgh,Alabama,41398,86.952377,42.9752395
Brian Davis,55,4046 Miles Mountain,Port Stevenberg,Texas,65647,92.064124,47.1623095
Michelle Rivera,70,816 Renee Island Apt. 151,Maynardview,Ohio,23429,174.684770,80.471434
Alyssa Morris,75,128 Daniel Springs,Williamsville,Wyoming,98054,19.645711,78.864304
Zachary Simpson,55,043 David View Apt. 408,East Michaelton,Washington,19043,-170.802656,-89.517758
Marcus Miller,74,218 Garcia Rapid Suite 930,North Brandon,Nevada,92880,-43.116239,-4.7159715
Lori Ball,62,2646 Brandy Ramp Apt. 375,Manuelstad,Illinois,98653,103.698136,89.447790
Rebecca Stone,35,06323 Christine Road Suite 769,Martinberg,Arizona,83462,150.373566,-51.4669295
Courtney Lucero,27,69281 Hammond Wall Suite 028,West Jeffrey,Alabama,24113,-23.109620,-14.5674625
Brendan Mercer,56,698 Bryant Squares Suite 813,North Mary,Montana,37827,44.013755,81.6017875
Kelsey Williams,64,764 Lopez Pines,Jennifermouth,New Jersey,29995,171.318262,60.641882
